category,year_month,count
COLLEGE,2014-09,40
COLLEGE,2014-10,43
COLLEGE,2014-11,45
COLLEGE,2014-12,41
COLLEGE,2015-01,49
COLLEGE,2015-02,56
COLLEGE,2015-03,47
COLLEGE,2015-04,47
COLLEGE,2015-05,63
COLLEGE,2015-06,41
COLLEGE,2015-07,34
COLLEGE,2015-08,48
COLLEGE,2015-09,30
COLLEGE,2015-10,35
COLLEGE,2015-11,55
COLLEGE,2015-12,19
COLLEGE,2016-01,26
COLLEGE,2016-02,17
COLLEGE,2016-03,8
COLLEGE,2016-04,25
COLLEGE,2016-05,30
COLLEGE,2016-06,26
COLLEGE,2016-07,15
COLLEGE,2016-08,15
COLLEGE,2016-09,3
COLLEGE,2016-10,7
COLLEGE,2016-11,5
COLLEGE,2016-12,5
COLLEGE,2017-01,4
COLLEGE,2017-02,3
COLLEGE,2017-03,3
COLLEGE,2017-04,6
COLLEGE,2017-05,9
COLLEGE,2017-06,9
COLLEGE,2017-07,5
COLLEGE,2017-08,6
COLLEGE,2017-09,7
COLLEGE,2017-10,3
COLLEGE,2017-12,2
COLLEGE,2018-02,1
COMEDY,2012-01,11
COMEDY,2012-02,53
COMEDY,2012-03,44
COMEDY,2012-04,44
COMEDY,2012-05,51
COMEDY,2012-06,46
COMEDY,2012-07,47
COMEDY,2012-08,43
COMEDY,2012-09,69
COMEDY,2012-10,70
COMEDY,2012-11,66
COMEDY,2012-12,60
COMEDY,2013-01,54
COMEDY,2013-02,49
COMEDY,2013-03,50
COMEDY,2013-04,28
COMEDY,2013-05,41
COMEDY,2013-06,37
COMEDY,2013-07,41
COMEDY,2013-08,34
COMEDY,2013-09,29
COMEDY,2013-10,33
COMEDY,2013-11,42
COMEDY,2013-12,49
COMEDY,2014-01,39
COMEDY,2014-02,32
COMEDY,2014-03,30
COMEDY,2014-04,26
COMEDY,2014-05,55
COMEDY,2014-06,48
COMEDY,2014-07,80
COMEDY,2014-08,84
COMEDY,2014-09,95
COMEDY,2014-10,65
COMEDY,2014-11,61
COMEDY,2014-12,75
COMEDY,2015-01,64
COMEDY,2015-02,58
COMEDY,2015-03,73
COMEDY,2015-04,58
COMEDY,2015-05,41
COMEDY,2015-06,57
COMEDY,2015-07,96
COMEDY,2015-08,79
COMEDY,2015-09,76
COMEDY,2015-10,66
COMEDY,2015-11,76
COMEDY,2015-12,67
COMEDY,2016-01,63
COMEDY,2016-02,47
COMEDY,2016-03,78
COMEDY,2016-04,80
COMEDY,2016-05,69
COMEDY,2016-06,63
COMEDY,2016-07,63
COMEDY,2016-08,77
COMEDY,2016-09,87
COMEDY,2016-10,129
COMEDY,2016-11,124
COMEDY,2016-12,109
COMEDY,2017-01,105
COMEDY,2017-02,141
COMEDY,2017-03,141
COMEDY,2017-04,120
COMEDY,2017-05,103
COMEDY,2017-06,59
COMEDY,2017-07,65
COMEDY,2017-08,72
COMEDY,2017-09,72
COMEDY,2017-10,83
COMEDY,2017-11,100
COMEDY,2017-12,90
COMEDY,2018-01,92
COMEDY,2018-02,69
COMEDY,2018-03,96
COMEDY,2018-04,85
COMEDY,2018-05,101
COMEDY,2018-06,1
COMEDY,2018-09,12
COMEDY,2018-10,15
COMEDY,2018-11,23
COMEDY,2018-12,19
COMEDY,2019-01,30
COMEDY,2019-02,24
COMEDY,2019-03,3
COMEDY,2019-05,1
COMEDY,2019-09,3
COMEDY,2019-10,22
COMEDY,2019-11,17
COMEDY,2019-12,5
COMEDY,2020-04,2
COMEDY,2020-10,1
COMEDY,2020-11,5
COMEDY,2020-12,5
COMEDY,2021-01,1
COMEDY,2021-03,1
COMEDY,2021-04,2
COMEDY,2021-05,7
COMEDY,2021-10,7
COMEDY,2021-11,1
COMEDY,2021-12,3
COMEDY,2022-01,3
COMEDY,2022-03,2
COMEDY,2022-04,5
COMEDY,2022-06,3
COMEDY,2022-07,1
COMEDY,2022-09,1
CRIME,2012-02,15
CRIME,2012-03,14
CRIME,2012-04,8
CRIME,2012-05,15
CRIME,2012-06,25
CRIME,2012-07,18
CRIME,2012-08,21
CRIME,2012-09,21
CRIME,2012-10,24
CRIME,2012-11,11
CRIME,2012-12,27
CRIME,2013-01,22
CRIME,2013-02,15
CRIME,2013-03,11
CRIME,2013-04,23
CRIME,2013-05,19
CRIME,2013-06,12
CRIME,2013-07,28
CRIME,2013-08,11
CRIME,2013-09,14
CRIME,2013-10,12
CRIME,2013-11,29
CRIME,2013-12,40
CRIME,2014-01,21
CRIME,2014-02,21
CRIME,2014-03,23
CRIME,2014-04,29
CRIME,2014-05,47
CRIME,2014-06,46
CRIME,2014-07,63
CRIME,2014-08,55
CRIME,2014-09,64
CRIME,2014-10,55
CRIME,2014-11,53
CRIME,2014-12,71
CRIME,2015-01,71
CRIME,2015-02,46
CRIME,2015-03,72
CRIME,2015-04,60
CRIME,2015-05,54
CRIME,2015-06,66
CRIME,2015-07,99
CRIME,2015-08,167
CRIME,2015-09,82
CRIME,2015-10,62
CRIME,2015-11,95
CRIME,2015-12,123
CRIME,2016-01,96
CRIME,2016-02,69
CRIME,2016-03,70
CRIME,2016-04,67
CRIME,2016-05,47
CRIME,2016-06,77
CRIME,2016-07,79
CRIME,2016-08,50
CRIME,2016-09,77
CRIME,2016-10,45
CRIME,2016-11,70
CRIME,2016-12,55
CRIME,2017-01,58
CRIME,2017-02,54
CRIME,2017-03,47
CRIME,2017-04,50
CRIME,2017-05,32
CRIME,2017-06,21
CRIME,2017-07,22
CRIME,2017-08,26
CRIME,2017-09,20
CRIME,2017-10,44
CRIME,2017-11,40
CRIME,2017-12,35
CRIME,2018-01,28
CRIME,2018-02,21
CRIME,2018-03,44
CRIME,2018-04,43
CRIME,2018-05,38
CRIME,2018-09,5
CRIME,2018-10,10
CRIME,2018-11,5
CRIME,2018-12,6
CRIME,2019-01,4
CRIME,2019-09,3
CRIME,2019-10,20
CRIME,2019-11,7
CRIME,2019-12,1
CRIME,2020-03,1
CRIME,2020-04,1
CRIME,2020-05,2
CRIME,2020-06,2
CRIME,2020-07,1
CRIME,2020-08,2
CRIME,2020-09,2
CRIME,2020-10,1
CRIME,2020-11,1
CRIME,2020-12,4
CRIME,2021-01,2
CRIME,2021-03,1
CRIME,2021-04,10
CRIME,2021-05,3
CRIME,2021-06,1
CRIME,2021-07,1
CRIME,2021-08,1
CRIME,2021-09,6
CRIME,2021-10,3
